Pie_ID	Pie_name	Pie_weight	Pie_value_for_kg
1	Apple Pie	0.4	25.0
2	Apple Pie	0.4	25.0
3	Apple Pie	0.4	25.0
4	Apple Pie	0.4	25.0
5	Apple Pie	0.4	25.0
6	Apple Pie	0.4	25.0
7	Apple Pie	0.4	25.0
8	Apple Pie	0.4	25.0
9	Apple Pie	0.4	25.0
10	Apple Pie	0.4	25.0
11	Apple Pie	0.4	25.0
12	Apple Pie	0.4	25.0
13	Apple Pie	0.4	25.0
14	Apple Pie	0.4	25.0
15	Apple Pie	0.4	25.0
16	Apple Pie	0.4	25.0
17	Apple Pie	0.4	25.0
18	Apple Pie	0.4	25.0
19	Apple Pie	0.4	25.0
20	Apple Pie	0.4	25.0
21	Apple Pie	0.4	25.0
22	Apple Pie	0.4	25.0
23	Apple Pie	0.4	25.0
24	Apple Pie	0.4	25.0
25	Apple Pie	0.4	25.0
26	Apple Pie	0.4	25.0
27	Apple Pie	0.4	25.0
